Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
178,1659004626671,28/07/2022 10:37:06,1659004626645,1,28/07/2022 11:37:06,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,13,20,1,Screen 1,button,timelimit_screen,1000.0310000000172,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
179,1659004627671,28/07/2022 10:37:07,1659004627645,1,28/07/2022 11:37:07,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,13,20,2,Screen 2,button,timelimit_screen,1000.0159999999742,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
180,1659004628444,28/07/2022 10:37:08,1659004628420,1,28/07/2022 11:37:08,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,13,20,3,TEST,Zone2,response_keyboard_single,767.5,,,Right,1,1,0,0,,,,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
181,1659004629066,28/07/2022 10:37:09,1659004629044,1,28/07/2022 11:37:09,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,13,20,6,IsTrue,button,timelimit_screen,199.8060000000114,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
182,1659004630065,28/07/2022 10:37:10,1659004630045,1,28/07/2022 11:37:10,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,31,25,1,Screen 1,button,timelimit_screen,999.9609999999811,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
183,1659004631074,28/07/2022 10:37:11,1659004631045,1,28/07/2022 11:37:11,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,31,25,2,Screen 2,button,timelimit_screen,1000.372000000003,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
184,1659004632271,28/07/2022 10:37:12,1659004632245,1,28/07/2022 11:37:12,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,31,25,3,TEST,gosignal,gonogo,1200.00900000002,,,NoGo,,1,0,0,,,,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
185,1659004632471,28/07/2022 10:37:12,1659004632445,1,28/07/2022 11:37:12,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,31,25,6,IsTrue,button,timelimit_screen,200.0109999999986,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
186,1659004633474,28/07/2022 10:37:13,1659004633445,1,28/07/2022 11:37:13,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,53,21,1,Screen 1,button,timelimit_screen,1000.039999999979,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
187,1659004634467,28/07/2022 10:37:14,1659004634445,1,28/07/2022 11:37:14,92270,33,task-1njw,,23347900,p005,6832171,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,53,21,2,Screen 2,button,timelimit_screen,999.9410000000207,,,,,0,1,0,,,1,,1,taskGo,Right_go.png,Right,200,Right_go.png,NoGo
